Date,month,NestID,ClutchSize,TQ,GS,RW,Territory,Year,Pair,InitDateEst,female,mean,delta
4-Apr-07,10,116,3,8,2,291.8,5,2006,112,5-Apr-07,20,110.2,181.6
17-May-07,11,118,2,8,2,0,5,2006,112,17-May-07,20,110.2,-110.2
19-Feb-08,8,240,4,8,2,290.9,5,2007,123,21-Feb-08,20,110.2,180.7
4-Apr-08,10,277,1,8,2,90.8,5,2007,123,4-Apr-08,20,110.2,-19.4
2-Sep-08,3,304,2,8,2,7.6,5,2008,123,3-Sep-08,20,110.2,-102.6
18-Apr-06,10,24,2,9,2,41.5,31,2005,160,19-Apr-06,21,41.5,0
9-Feb-06,8,80,4,5,2,235.8,34,2005,1,23-Feb-06,22,149.68,86.12
15-Jul-06,1,93,1,5,8,0.6,34,2006,1,18-Jul-06,22,149.68,-149.08
22-Nov-06,5,72,3,5,8,95.3,34,2006,1,23-Nov-06,22,149.68,-54.38
4-Feb-07,8,180,4,5,8,143.9,34,2006,1,5-Feb-07,22,149.68,-5.78
26-Sep-07,3,144,3,5,10,0,34,2007,1,26-Sep-07,22,149.68,-149.68
15-Feb-08,8,225,4,5,6,270.9,34,2007,1,15-Feb-08,22,149.68,121.22
25-Feb-08,9,253,2,5,7,329,34,2007,1,1-Mar-08,22,149.68,179.32
22-Mar-08,9,265,2,5,7,103.8,34,2007,1,22-Mar-08,22,149.68,-45.88
31-Mar-08,10,285,3,5,7,90.8,34,2007,1,1-Apr-08,22,149.68,-58.88
4-Jan-09,7,328,4,5,5,222,34,2008,66,9-Jan-09,22,149.68,72.32
11-Mar-09,9,369,3,5,5,154.4,34,2008,66,12-Mar-09,22,149.68,4.72
6-Feb-06,9,84,2,2,2,174.4,37,2005,14,8-Mar-06,23,63.12,111.28
14-Aug-06,2,37,3,2,4,0,37,2006,14,15-Aug-06,23,63.12,-63.12
21-Oct-06,4,64,3,2,4,51.5,37,2006,14,28-Oct-06,23,63.12,-11.62
23-Mar-07,9,103,2,2,3,99.4,37,2006,14,23-Mar-07,23,63.12,36.28
5-Apr-07,10,105,2,2,3,291.8,37,2006,14,5-Apr-07,23,63.12,228.68
13-May-07,11,119,2,2,3,0,37,2006,14,13-May-07,23,63.12,-63.12
4-Jun-07,12,122,3,2,3,30.4,37,2006,14,4-Jun-07,23,63.12,-32.72
7-Jul-07,1,126,3,2,3,63.2,37,2007,14,8-Jul-07,23,63.12,0.08
11-Mar-08,9,267,3,2,3,93,37,2007,14,14-Mar-08,23,63.12,29.88
4-Apr-08,10,282,3,2,3,90.8,37,2007,14,4-Apr-08,23,63.12,27.68
9-Mar-09,9,357,2,2,2,177.6,37,2008,23,9-Mar-09,23,63.12,114.48
7-Apr-09,10,395,3,2,2,7.4,37,2008,23,7-Apr-09,23,63.12,-55.72
5-Jul-09,1,404,2,2,2,0,37,2009,23,8-Jul-09,23,63.12,-63.12
28-Jul-09,1,405,1,2,2,0,37,2009,23,29-Jul-09,23,63.12,-63.12
13-Aug-09,2,409,2,2,2,0,37,2009,23,13-Aug-09,23,63.12,-63.12
25-Aug-09,2,422,1,2,2,0,37,2009,23,27-Aug-09,23,63.12,-63.12
7-Jun-10,12,466,2,2,2,82.8,37,2009,23,8-Jun-10,23,63.12,19.68
31-Jul-10,1,482,3,2,2,36.55,37,2010,23,31-Jul-10,23,63.12,-26.57
29-Aug-10,2,505,3,2,2,0.55,37,2010,23,30-Aug-10,23,63.12,-62.57
12-Apr-06,10,16,1,11,3,70.7,20,2005,88,14-Apr-06,24,95.04,-24.34
28-May-06,11,29,3,11,2,1.4,20,2005,88,29-May-06,24,95.04,-93.64
10-Nov-06,5,67,2,11,3,82.4,20,2006,88,10-Nov-06,24,95.04,-12.64
6-Feb-07,8,170,3,11,4,142.7,20,2006,88,6-Feb-07,24,95.04,47.66
19-Nov-07,5,157,2,11,5,6.6,20,2007,88,19-Nov-07,24,95.04,-88.44
8-Jan-08,7,197,3,11,3,187.2,20,2007,88,8-Jan-08,24,95.04,92.16
25-Jan-08,7,210,3,11,3,174.2,20,2007,88,25-Jan-08,24,95.04,79.16
5-Mar-08,9,249,2,11,4,256.5,20,2007,88,5-Mar-08,24,95.04,161.46
11-Mar-09,9,364,3,11,2,165.8,20,2008,95,11-Mar-09,24,95.04,70.76
1-Apr-09,10,387,3,11,3,52.1,20,2008,95,1-Apr-09,24,95.04,-42.94
26-Apr-09,10,398,2,11,3,0.6,20,2008,95,27-Apr-09,24,95.04,-94.44
17-Nov-09,5,428,3,11,3,58.8,20,2009,95,17-Nov-09,24,95.04,-36.24
29-Jul-10,1,491,2,10,2,36.55,55,2010,95,30-Jul-10,24,95.04,-58.49
26-Mar-06,9,6,1,15,2,201.8,25,2005,149,27-Mar-06,25,84.26,117.54
6-Aug-06,2,36,2,15,3,0.6,25,2006,149,7-Aug-06,25,84.26,-83.66
15-Sep-06,3,54,1,15,2,0.1,25,2006,149,16-Sep-06,25,84.26,-84.16
1-Nov-06,5,66,3,15,2,82.4,25,2006,149,2-Nov-06,25,84.26,-1.86
31-Jan-07,7,165,3,15,2,136.4,25,2006,149,31-Jan-07,25,84.26,52.14
11-Apr-06,10,8,3,16,3,66.8,22,2005,26,12-Apr-06,26,52.85,13.95
3-Aug-06,2,39,1,18,3,0.6,21,2006,26,5-Aug-06,26,52.85,-52.25
18-Sep-06,3,53,1,18,3,0.1,21,2006,26,19-Sep-06,26,52.85,-52.75
4-Feb-07,8,174,4,18,2,143.9,21,2006,26,4-Feb-07,26,52.85,91.05
7-Jan-06,7,77,1,17,2,273.81,19,2005,150,21-Jan-06,27,104.26,169.55
18-Dec-08,6,308,3,17,3,76.5,19,2008,155,18-Dec-08,27,104.26,-27.76
30-Mar-06,9,7,2,17,3,122.4,19,2005,156,31-Mar-06,27,104.26,18.14
4-Jul-06,1,94,2,17,3,0.6,19,2006,156,18-Jul-06,27,104.26,-103.66
22-Dec-06,6,161,3,17,5,89.2,19,2006,156,23-Dec-06,27,104.26,-15.06
17-Sep-07,3,136,2,17,3,0,19,2007,156,17-Sep-07,27,104.26,-104.26
15-Oct-07,4,148,2,17,3,0,19,2007,156,15-Oct-07,27,104.26,-104.26
21-Nov-07,5,154,1,17,3,6.6,19,2007,156,22-Nov-07,27,104.26,-97.66
29-Dec-07,6,188,3,17,3,204.1,19,2007,156,29-Dec-07,27,104.26,99.84
18-Feb-08,8,224,4,17,2,290.4,19,2007,156,18-Feb-08,27,104.26,186.14
14-Mar-08,9,260,3,17,2,93,19,2007,156,14-Mar-08,27,104.26,-11.26
9-Apr-08,10,294,3,17,2,86.3,19,2007,156,10-Apr-08,27,104.26,-17.96
4-Mar-09,9,355,4,17,3,260.4,19,2008,169,4-Mar-09,27,104.26,156.14
1-Dec-09,6,432,3,17,2,60.6,19,2009,169,1-Dec-09,27,104.26,-43.66
26-Aug-09,3,421,2,17,3,0,19,2009,170,1-Sep-09,27,104.26,-104.26
12-Jan-06,7,78,3,13,2,387.31,24,2005,90,26-Jan-06,28,188.35,198.96
10-Aug-06,2,95,3,13,5,0.6,24,2006,90,13-Aug-06,28,188.35,-187.75
10-Feb-07,8,168,3,13,4,154.8,24,2006,90,10-Feb-07,28,188.35,-33.55
29-Sep-07,4,150,2,13,6,0,24,2007,90,2-Oct-07,28,188.35,-188.35
16-Dec-07,6,160,2,13,3,46.1,24,2007,90,17-Dec-07,28,188.35,-142.25
9-Jan-08,7,199,2,13,2,217.6,24,2007,90,9-Jan-08,28,188.35,29.25
21-Jan-08,7,208,3,13,2,241.4,24,2007,90,21-Jan-08,28,188.35,53.05
24-Feb-08,8,236,3,13,2,297.3,24,2007,90,24-Feb-08,28,188.35,108.95
26-Mar-08,9,271,2,13,2,79.5,24,2007,90,26-Mar-08,28,188.35,-108.85
18-Feb-09,8,365,4,13,2,458.9,24,2008,98,19-Feb-09,28,188.35,270.55
17-Apr-06,10,23,2,11,2,41.5,17,2005,76,18-Apr-06,29,128.28,-86.78
31-Oct-06,4,60,3,11,2,80.5,17,2006,76,31-Oct-06,29,128.28,-47.78
21-Feb-08,8,233,4,11,2,290.9,17,2007,76,21-Feb-08,29,128.28,162.62
17-Mar-08,9,272,3,11,2,100.2,17,2007,76,18-Mar-08,29,128.28,-28.08
26-Feb-06,9,83,1,15,2,141,18,2005,9,1-Mar-06,30,71.2,69.8
28-May-06,11,31,1,15,2,1.4,18,2005,9,29-May-06,30,71.2,-69.8
12-Apr-06,10,17,2,18,2,61.7,21,2005,166,13-Apr-06,31,61.7,0
11-Feb-09,8,436,2,7,3,364.5,41,2008,49,25-Feb-09,32,153.57,210.93
26-Mar-06,10,87,1,7,2,75.6,41,2005,146,9-Apr-06,32,153.57,-77.97
5-Oct-06,4,98,2,7,3,0.1,41,2006,146,8-Oct-06,32,153.57,-153.47
4-Apr-07,10,111,3,7,5,291.8,41,2006,146,5-Apr-07,32,153.57,138.23
8-Mar-08,9,269,3,7,2,93,41,2007,146,14-Mar-08,32,153.57,-60.57
25-Mar-08,9,315,1,7,2,96.4,41,2007,146,30-Mar-08,32,153.57,-57.17
29-Apr-06,10,10,1,17,2,38.1,15,2005,3,29-Apr-06,33,133.1,-95
3-Jun-06,12,26,2,17,2,0,15,2005,3,3-Jun-06,33,133.1,-133.1
31-Aug-06,3,46,2,17,2,0,15,2006,3,2-Sep-06,33,133.1,-133.1
18-Dec-08,6,312,3,13,2,69.8,13,2008,114,22-Dec-08,33,133.1,-63.3
5-Apr-07,10,192,1,13,3,291.8,13,2006,118,6-Apr-07,33,133.1,158.7
2-Dec-07,6,153,2,13,2,21.8,13,2007,118,2-Dec-07,33,133.1,-111.3
16-Dec-07,6,159,2,13,2,40.6,13,2007,118,16-Dec-07,33,133.1,-92.5
21-Jan-08,7,219,3,13,2,169.1,13,2007,118,22-Jan-08,33,133.1,36
21-Mar-08,9,279,3,13,2,103.8,13,2007,118,22-Mar-08,33,133.1,-29.3
7-Jan-09,7,325,1,13,2,241.7,13,2008,130,7-Jan-09,33,133.1,108.6
18-Feb-09,8,332,3,13,2,487.4,13,2008,130,18-Feb-09,33,133.1,354.3
6-Apr-06,10,85,1,18,2,75.6,9,2005,6,9-Apr-06,34,39.55,36.05
14-Sep-07,3,137,2,16,2,0,22,2007,12,15-Sep-07,34,39.55,-39.55
17-Sep-06,3,44,3,7,2,0.1,23,2006,173,17-Sep-06,34,39.55,-39.45
4-Nov-06,5,61,3,7,2,82.4,23,2006,173,4-Nov-06,34,39.55,42.85
2-Mar-10,9,460,3,2,2,69.8,37,2009,24,4-Mar-10,35,69.8,0
19-Mar-06,9,5,2,11,2,198.4,7,2005,110,24-Mar-06,36,133.34,65.06
13-Aug-06,2,40,1,11,3,0,7,2006,110,14-Aug-06,36,133.34,-133.34
6-Oct-06,4,55,3,11,3,0.1,7,2006,110,7-Oct-06,36,133.34,-133.24
1-Jan-07,7,74,3,11,2,140.4,7,2006,110,1-Jan-07,36,133.34,7.06
4-Feb-07,8,181,3,11,2,143.9,7,2006,110,5-Feb-07,36,133.34,10.56
23-Jun-07,12,124,3,11,2,63.2,7,2006,110,26-Jun-07,36,133.34,-70.14
9-Sep-07,3,134,3,11,2,0,7,2007,110,9-Sep-07,36,133.34,-133.34
3-Jan-08,7,186,3,11,2,194.6,7,2007,110,3-Jan-08,36,133.34,61.26
31-Jan-08,7,212,3,11,2,187.2,7,2007,110,31-Jan-08,36,133.34,53.86
22-Feb-08,8,232,4,11,2,295.8,7,2007,110,22-Feb-08,36,133.34,162.46
24-Mar-08,9,266,3,11,2,96.3,7,2007,110,24-Mar-08,36,133.34,-37.04
17-Dec-08,6,305,3,11,3,80.8,7,2008,115,17-Dec-08,36,133.34,-52.54
12-Feb-09,8,336,4,11,2,466,7,2008,131,12-Feb-09,36,133.34,332.66
22-Aug-09,2,408,2,11,5,0,7,2009,131,22-Aug-09,36,133.34,-133.34
29-Apr-06,11,91,2,3,4,21,36,2005,109,2-May-06,37,71.94,-50.94
7-Aug-06,2,38,2,3,6,0.6,36,2006,109,9-Aug-06,37,71.94,-71.34
25-Sep-06,3,48,3,3,5,0.1,36,2006,109,25-Sep-06,37,71.94,-71.84
